stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
12295,Catalina Bl & Warner St,32.7164213654,-117.247048694,12295,0,,0,N-N/B,,,Catalina&Warner
12297,Cabrillo Memorial Hwy & Woodward St,32.6968771369,-117.246294566,12297,0,,2,M-Street-N/B,wdgate,,Cabrillo Memorial Hwy&Woodward
12299,Catalina Bl & Wilcox St,32.7189113839,-117.246387571,12299,0,,0,N-N/B,,,Catalina&Wilcox
12302,Catalina Bl & Talbot St,32.7222913255,-117.245460088,12302,0,,0,N-N/B,,,Catalina&Talbot
12303,Cabrillo Memorial Hwy & Ft Rosecrans Cemetery Gate,32.6847923715,-117.244526457,12303,0,,2,M-Street-N/B,,,Cabrillo Memorial Hwy&Ft Rosecrans Cemetery Gate
12304,Cabrillo Memorial Hwy & Ft Rosecrans Cemetery Gate,32.6828579258,-117.244121133,12304,0,,2,M-Street-N/B,,,Cabrillo Memorial Hwy&Ft Rosecrans Cemetery Gate
12305,Cable St & Voltaire St,32.7508227317,-117.244920522,12305,0,,1,N-N/B,cabvol,,Cable&Voltaire
12308,La Jolla Shores Dr & Poole St,32.8738204258,-117.244839185,12308,0,,1,N-N/B,,,LJ Shores&Poole
12310,N Torrey Pines Rd & La Jolla Shores Dr,32.8746448198,-117.243493541,12310,0,,1,N-N/B,torlaj,,N Try Pines&LJ Shores
12313,Ingraham St & Grand Av,32.7976173584,-117.240037359,12313,0,,1,N-N/B,inggra,,Ingraham&Grand
12315,Rosecrans St & Kellogg St,32.7077379663,-117.238953116,12315,0,,0,M-Street-N/B,,,Rosecrans&Kellogg
12317,Rosecrans St & Lawrence St,32.7094153467,-117.238513541,12317,0,,1,N-N/B,,,Rosecrans&Lawrence
12319,Rosecrans St & Owen St,32.712271596,-117.237762052,12319,0,,2,N-N/B,,,Rosecrans&Owen
12320,Gilman Dr & Eucalyptus Grove Ln,32.8752655212,-117.238754884,12320,0,,1,N-N/B,schola,,Gilman&Eucalyptus Grove
12321,Rosecrans St & Kona Wy,32.7171841812,-117.235924846,12321,0,,2,M-Street-E/B,,,Rosecrans&Kona
12323,Ingraham St & Moorland Dr,32.7867544553,-117.236690654,12323,0,,1,N-N/B,,,Ingraham&Moorland
12324,Ingraham St & La Cima Dr,32.7826989424,-117.236524832,12324,0,,1,N-N/B,,,Ingraham&La Cima
12325,Ingraham St & La Mancha Dr,32.784749174,-117.236202895,12325,0,,1,N-N/B,,,Ingraham&La Mancha
12326,Gilman Dr & Villa La Jolla Dr,32.8646601633,-117.236193146,12326,0,,1,F-N/B,gilvlj,,Gilman&Villa LJ
12328,Chatsworth Bl & Nimitz Bl,32.7369822117,-117.230708951,12328,0,,1,N-N/B,,,Chatsworth&Nimitz
12330,Plum St & Macaulay St,32.7312809805,-117.229422819,12330,0,,2,M-Street-N/B,,,Plum&Macaulay
12331,Rosecrans St & Garrison St,32.7253299924,-117.22843648,12331,0,,0,N-E/B,,,Rosecrans&Garrison
12333,Rosecrans St & Ingelow St,32.7266056662,-117.227351585,12333,0,,1,N-E/B,,,Rosecrans&Ingelow
