stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,intersection_code,reference_place,stop_name_short,stop_place
13222,13222,Mira Mesa Bl & Sequence Dr,,32.90334155,-117.18474361,,,0,,1,F-W/B,,Mra Msa&Sequence,
13217,13217,Mira Mesa Bl & Shilling Av,,32.90844310,-117.16709191,,,0,,1,F-W/B,,Mra Msa&Shilling,
13205,13205,Mira Mesa Bl & Steadman St,,32.90561712,-117.18039847,,,0,,1,F-E/B,,Mra Msa&Steadman,
13207,13207,Mira Mesa Bl & Viper Wy,,32.90703147,-117.17358728,,,0,,1,F-E/B,,Mra Msa&Viper,
13219,13219,Mira Mesa Bl & Viper Wy,,32.90716080,-117.17467040,,,0,,1,F-W/B,,Mra Msa&Viper,
11302,11302,Mira Mesa Bl & Westmore Rd,,32.91609649,-117.13020902,,,0,,1,F-W/B,,Mra Msa&Westmore,
10149,10149,Mira Mesa Bl & Westonhill Dr,,32.91274479,-117.13577359,,,0,,1,N-E/B,,Mra Msa&Westonhill,
11289,11289,Mira Mesa Bl & Westonhill Dr,,32.91302548,-117.13610878,,,0,,1,F-W/B,,Mra Msa&Westonhill,
90051,90051,Mira Mesa Marketcenter,,32.91464999,-117.12061759,,,0,,1,M-Street-S/B,,Mra Msa Mrktcenter,wespky
23001,23001,Miramar College Transit Station,,32.91189151,-117.11969094,,,0,,0,M-TC-Bus,,Miramar Coll Trnst Stn,mirsta
23002,23002,Miramar College Transit Station,,32.91205907,-117.11931462,,,0,,0,M-TC-Bus,,Miramar Coll Trnst Stn,mirsta
23004,23004,Miramar College Transit Station,,32.91270506,-117.11930145,,,0,,0,M-TC-Bus,,Miramar Coll Trnst Stn,mirsta
23005,23005,Miramar College Transit Station,,32.91225828,-117.11990963,,,0,,0,M-TC-Bus,,Miramar Coll Trnst Stn,mirsta
23006,23006,Miramar College Transit Station,,32.91243543,-117.11973216,,,0,,0,M-TC-Bus,,Miramar Coll Trnst Stn,mirsta
