"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"4523","NCTD_20186","20186","20186","Oceanside Bl & Foussat Rd","33.20165300","-117.34013000","NCTD","","F-E/B","","","33.20164819066492","-117.34011803418953"
"4524","NCTD_20189","20189","20189","Vista Way & Olson Way","33.18311500","-117.33653500","NCTD","","F-E/B","","","33.183110192127984","-117.33652303537123"
"4525","NCTD_20190","20190","20190","Marron Rd & Monroe St","33.17661000","-117.33625900","NCTD","","F-E/B","","","33.17660519296386","-117.33624703659292"
"4526","NCTD_20191","20191","20191","Mesa Dr & Mainsail Rd","33.21087900","-117.33659000","NCTD","","F-E/B","","","33.21087418883767","-117.33657803315839"
"4527","NCTD_20192","20192","20192","Carlsbad Village Dr & Valley St","33.16738800","-117.33545800","NCTD","","F-E/B","","","33.16738319440738","-117.33544603677981"
"4528","NCTD_20193","20193","20193","Tamarack Av & Pio Pico Dr","33.15276100","-117.33487300","NCTD","","F-E/B","","","33.15275619603197","-117.33486103880057"
"4529","NCTD_20194","20194","20194","Oceanside Blvd & El Camino Real E","33.20163100","-117.33027300","NCTD","","F-E/B","oceecr","","33.20162619015728","-117.33026103586522"
"4530","NCTD_20195","20195","20195","Vista Way & Via Esmarca","33.18310800","-117.33086800","NCTD","","F-E/B","visesE","","33.183103191928865","-117.3308560368218"
"4531","NCTD_20196","20196","20196","Mesa Dr & Pear Tree Ln","33.20867300","-117.33174600","NCTD","","M-Street-E/B","ecrmes","","33.20866818877665","-117.33173403481281"
"4532","NCTD_20197","20197","20197","Mission Av & Plaza Real","33.22649200","-117.32935300","NCTD","","N-E/B","misecN","","33.22648718649946","-117.32934103392145"
"4533","NCTD_20199","20199","20199","Vista Way & El Camino Real","33.18249300","-117.32588600","NCTD","","F-E/B","visecr","","33.18248819120863","-117.32587403814497"
"4534","NCTD_20201","20201","20201","Marron Rd & El Camino Real","33.17776400","-117.32471800","NCTD","","F-E/B","","","33.177759192391385","-117.32470603738768"
"4535","NCTD_20202","20202","20202","Vista Way & Valley Glen Dr","33.18243800","-117.32257000","NCTD","","F-E/B","","","33.1824331917026","-117.32255803783832"
"4536","NCTD_20204","20204","20204","Mesa Dr & Vanilla Way","33.21241400","-117.32136000","NCTD","","M-Street-E/B","","","33.21240918772537","-117.32134803626761"
"4537","NCTD_20206","20206","20206","Vista Way & Paseo De Laura","33.18115100","-117.31726900","NCTD","","F-E/B","","","33.18114619139854","-117.31725703890373"
